,address,bedrooms,house_type,name,price,region,release,status,street,tags,turn,house-price
178,铁一中北门（武警医院西邻）,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,天伦御城龙脉,住宅12000,城南,5号楼开盘,尾盘,南二环,"['轨交房', '南北通透', '刚需房', '双卫', '大阳台']",2015/10/10,12000
166,环城东路与伍道什字交汇处东北角（小东门十字）,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,长乐嘉韵,住宅11700,城东,2018/1/20,尾盘,兴庆公园,"['轨交房', '品牌开发商', '公积金贷款', '即将开盘', '刚需房']",1#预计2020年年初交房,11700
4,东长安街与南长安街十字向东100米,"['3室户型 ', '4室户型 ']",住宅,红星紫御半山,住宅11500,长安,2017/12/17,期房在售,航天基地,"['轨交房', '南北通透', '三环以外', '双卫', '大阳台']",2019/12/31,11500
34,"航天大道,近神舟六路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,英郡年华国际社区,住宅11500,长安,2018/2/3,期房在售,航天基地,"['轨交房', '品牌开发商', '南北通透', '三环以外', '洋房']",23#2019年9月30日交房,11500
124,"萧家巷,近玄武门路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,名京九合院,住宅11500,城北,2018/1/15,期房在售,北二环,"['轨交房', '二至三环', '南北通透', '刚需房', '大型社区']",2019/12/31,11500
55,丈八东路与电子正街交汇处（204所东侧）,"['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,万象春天,住宅11401,城南,2017/11/27,期房在售,电子城,"['二至三环', '投资地产', '南北通透', '刚需房', '大型社区']",2018/12/31,11401
7,世博大道出东二环向东800米（世博大道2199号）,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,世园大公馆,住宅11000,浐灞,2017/12/13,期房在售,世园会,"['南北通透', '刚需房', '三环以外', '大阳台', '飘窗']",2020/9/30,11000
8,大寨路,"['3室户型 ', '4室户型 ']",住宅,华洲城云顶,住宅11000,高新,2018/1/20,期房在售,大寨路,"['轨交房', '二至三环', '科技住宅', '商场', '银行']",2020/1/30,11000
31,凤城六路与未央路十字向东800米,['3室户型 '],住宅,惠风壹品,住宅11000,经济开发区,2017年11月13日,期房在售,行政中心,"['轨交房', '二至三环', '刚需房', '公交枢纽', '改善房']",2020/12/31,11000
62,"飞天路,近神舟二路","['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,天浩上元郡,住宅11000,长安,2017/6/2,期房在售,航天基地,"['轨交房', '南北通透', '刚需房', '三环以外', '商场']",2019/12/31,11000
87,"凤城五路,近贞观路","['1室户型 ', '3室户型 ']",住宅,兴盛园MOMA公寓,住宅11000,经济开发区,2009/2/28,尾盘,行政中心,"['轨交房', '二至三环', '投资地产', '刚需房', '公交枢纽']",2015/3/31,11000
95,大寨路,"['3室户型 ', '4室户型 ']",住宅,中航华府,住宅11000,高新,2017/9/10,尾盘,大寨路,"['轨交房', '二至三环', '品牌开发商', '车位充足', '刚需房']",2019/12/31,11000
133,"纺南路,近半引路",['4室户型 '],住宅,融创璟园,住宅11000,城东,2017/11/18,期房在售,咸宁路,"['轨交房', '品牌开发商', '人车分流', '车位充足', '改善房']",2019/12/29,11000
134,"浐河东路,近御城路","['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,御锦城,住宅11000,浐灞,2017/9/12,期房在售,浐河,"['轨交房', '二至三环', '南北通透', '商场', '双卫']",2019/6/30,11000
160,"纺渭路,近柳新路","['2室户型 ', '3室户型 ']",住宅,万象湾,住宅11000,浐灞,2017/8/7,期房在售,纺织城,"['轨交房', '南北通透', '三环以外', '大阳台', '学校']",2019/10/30,11000
9,"红光路,近汉城南路",['3室户型 '],住宅,德杰状元府邸,住宅10700,城西,预计4月中下旬推出1号楼,期房在售,土门,"['轨交房', '二至三环', '双卫', '大阳台', '大平层']",2019/12/30,10700
11,"子午大道,近学府大街","['3室户型 ', '4室户型 ']",住宅,万景荔知湾,住宅10500,长安,2017/5/27,期房在售,郭杜,"['南北通透', '刚需房', '三环以外', '双卫', '大阳台']",2018/12/30,10500
53,"航天东路,近航天大道","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,楠香郡,住宅10500,曲江区,2017/6/25,尾盘,曲江新区,"['投资地产', '公积金贷款', '车位充足', '南北通透', '刚需房']",2018/12/31,10500
