基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
460009,华泰柏瑞量化先行混合,28,4.78,37,6.83,63,13.38,126,33.51
519991,长信双利优选混合,420,71.67,442,81.55,357,75.80,127,33.78
320016,诺安多策略混合,125,21.33,141,26.01,150,31.85,128,34.04
519017,大成积极成长混合,168,28.67,69,12.73,59,12.53,129,34.31
290011,泰信中小盘精选混合,280,47.78,336,61.99,120,25.48,130,34.57
260115,景顺长城中小盘混合,151,25.77,191,35.24,330,70.06,131,34.84
070027,嘉实周期优选混合,133,22.70,360,66.42,113,23.99,132,35.11
460002,华泰柏瑞积极成长混合A,502,85.67,440,81.18,126,26.75,133,35.37
233006,大摩领先优势混合,105,17.92,117,21.59,159,33.76,134,35.64
288002,华夏收入混合,180,30.72,198,36.53,123,26.11,135,35.90
290008,泰信发展主题混合,354,60.41,362,66.79,289,61.36,136,36.17
519115,浦银安盛红利精选混合,178,30.38,213,39.30,322,68.37,137,36.44
090001,大成价值增长混合,68,11.60,77,14.21,40,8.49,138,36.70
400011,东方核心动力混合,201,34.30,106,19.56,125,26.54,139,36.97
040020,华安升级主题混合,62,10.58,203,37.45,220,46.71,140,37.23
240004,华宝兴业动力组合混合,67,11.43,154,28.41,131,27.81,141,37.50
257030,国联安优势混合,153,26.11,250,46.13,193,40.98,142,37.77
180012,银华富裕主题混合,16,2.73,101,18.63,93,19.75,143,38.03
002031,华夏策略混合,208,35.49,128,23.62,208,44.16,144,38.30
213003,宝盈策略增长混合,441,75.26,427,78.78,119,25.27,145,38.56
160314,华夏行业混合(LOF),344,58.70,279,51.48,251,53.29,146,38.83
163807,中银优选混合,279,47.61,407,75.09,298,63.27,147,39.10
550003,信诚盛世蓝筹混合,94,16.04,92,16.97,187,39.70,148,39.36
180018,银华和谐主题混合,267,45.56,428,78.97,292,62.00,149,39.63
690004,民生加银稳健成长混合,209,35.67,183,33.76,170,36.09,150,39.89
410006,华富策略精选混合,308,52.56,207,38.19,156,33.12,151,40.16
410001,华富竞争力优选混合,366,62.46,399,73.62,320,67.94,152,40.43
690001,民生加银品牌蓝筹混合,359,61.26,43,7.93,105,22.29,153,40.69
070017,嘉实量化阿尔法混合,71,12.12,57,10.52,101,21.44,154,40.96
630008,华商策略精选混合,278,47.44,378,69.74,233,49.47,155,41.22
690007,民生加银景气行业混合,47,8.02,113,20.85,108,22.93,156,41.49
550002,信诚精萃成长混合,394,67.24,270,49.82,272,57.75,157,41.76
070099,嘉实优质企业混合,341,58.19,129,23.80,204,43.31,158,42.02
180010,银华优质增长混合,137,23.38,305,56.27,319,67.73,159,42.29
400015,东方增长中小盘混合,482,82.25,385,71.03,340,72.19,160,42.55
460007,华泰柏瑞行业领先混合,396,67.58,468,86.35,332,70.49,161,42.82
270021,广发聚瑞混合,427,72.87,451,83.21,432,91.72,162,43.09
660004,农银策略价值混合,212,36.18,228,42.07,354,75.16,163,43.35
217010,招商大盘蓝筹混合,470,80.20,436,80.44,143,30.36,164,43.62
110015,易方达行业领先混合,213,36.35,169,31.18,294,62.42,165,43.88
040004,华安宝利配置混合,207,35.32,240,44.28,134,28.45,166,44.15
519688,交银精选混合,83,14.16,68,12.55,179,38.00,167,44.41
710001,富安达优势成长混合,345,58.87,138,25.46,244,51.80,168,44.68
450002,国富弹性市值混合,89,15.19,95,17.53,175,37.15,169,44.95
162201,泰达宏利成长混合,451,76.96,461,85.06,412,87.47,170,45.21
400007,东方策略成长混合,227,38.74,271,50.00,74,15.71,171,45.48
162605,景顺长城鼎益混合(LOF),104,17.75,220,40.59,296,62.85,172,45.74
481015,工银主题策略混合,508,86.69,414,76.38,343,72.82,173,46.01
160105,南方积极配置混合(LOF),152,25.94,187,34.50,182,38.64,174,46.28
688888,浙商聚潮产业成长混合,229,39.08,59,10.89,107,22.72,175,46.54
550001,信诚四季红混合,309,52.73,237,43.73,206,43.74,176,46.81
202003,南方绩优成长混合A,261,44.54,195,35.98,253,53.72,177,47.07
070021,嘉实主题新动力混合,210,35.84,193,35.61,282,59.87,178,47.34
481010,工银瑞信中小盘混合,418,71.33,246,45.39,191,40.55,179,47.61
260104,景顺长城内需增长混合,256,43.69,465,85.79,443,94.06,180,47.87
519698,交银先锋混合,350,59.73,234,43.17,273,57.96,181,48.14
519987,长信恒利优势混合,318,54.27,384,70.85,290,61.57,182,48.40
150103,银河银泰混合,478,81.57,328,60.52,304,64.54,183,48.67
040008,华安策略优选混合,266,45.39,202,37.27,140,29.72,184,48.94
630002,华商盛世成长混合,571,97.44,372,68.63,299,63.48,185,49.20
310328,申万菱信新动力混合,335,57.17,332,61.25,190,40.34,186,49.47
571002,诺德主题灵活配置混合,303,51.71,120,22.14,127,26.96,187,49.73
519039,长盛同德主题混合,416,70.99,253,46.68,158,33.55,188,50.00
161609,融通动力先锋混合,203,34.64,416,76.75,308,65.39,189,50.27
690005,民生加银内需增长混合,140,23.89,153,28.23,169,35.88,190,50.53
020009,国泰金鹏蓝筹混合,135,23.04,281,51.85,135,28.66,191,50.80
160311,华夏蓝筹混合(LOF),317,54.10,320,59.04,245,52.02,192,51.06
260110,景顺长城精选蓝筹混合,157,26.79,450,83.03,321,68.15,193,51.33
481013,工银消费服务混合,177,30.20,159,29.34,216,45.86,194,51.60
410003,华富成长趋势混合,447,76.28,358,66.05,256,54.35,195,51.86
260109,景顺长城内需增长贰号混合,265,45.22,463,85.42,445,94.48,196,52.13
470028,汇添富社会责任混合,530,90.44,382,70.48,267,56.69,197,52.39
090004,大成精选增值混合,60,10.24,171,31.55,210,44.59,198,52.66
210003,金鹰行业优势混合,259,44.20,142,26.20,100,21.23,199,52.93
202009,南方盛元红利混合,374,63.82,161,29.70,163,34.61,200,53.19
160603,鹏华普天收益混合,181,30.89,166,30.63,173,36.73,201,53.46
530006,建信核心精选混合,464,79.18,333,61.44,252,53.50,202,53.72
290006,泰信蓝筹精选混合,442,75.43,459,84.69,260,55.20,203,53.99
519021,国泰金鼎价值混合,298,50.85,248,45.76,307,65.18,204,54.26
360010,光大保德信均衡精选混合,49,8.36,34,6.27,122,25.90,205,54.52
240010,华宝兴业行业精选混合,334,57.00,365,67.34,369,78.34,206,54.79
100039,富国通胀通缩主题混合,343,58.53,376,69.37,171,36.31,207,55.05
040007,华安中小盘成长混合,179,30.55,145,26.75,112,23.78,208,55.32
530005,建信优化配置混合,378,64.51,354,65.31,271,57.54,209,55.59
470008,汇添富策略回报混合,349,59.56,219,40.41,237,50.32,210,55.85
580008,东吴新产业精选混合,532,90.78,443,81.73,376,79.83,211,56.12
213002,宝盈泛沿海增长混合,270,46.08,340,62.73,270,57.32,212,56.38
400003,东方精选混合,340,58.02,223,41.14,230,48.83,213,56.65
730001,方正富邦创新动力混合,522,89.08,294,54.24,259,54.99,214,56.91
100022,富国天瑞强势地区精选混合,39,6.66,168,31.00,198,42.04,215,57.18
519001,银华核心价值优选混合,445,75.94,322,59.41,246,52.23,216,57.45
519087,新华优选分红混合,506,86.35,500,92.25,249,52.87,217,57.71
090009,大成行业轮动混合,22,3.75,245,45.20,192,40.76,218,57.98
360006,光大保德信新增长混合,164,27.99,299,55.17,232,49.26,219,58.24
540004,汇丰晋信2026周期混合,368,62.80,287,52.95,353,74.95,220,58.51
240005,华宝兴业多策略股票,101,17.24,230,42.44,269,57.11,221,58.78
163803,中银持续增长混合A,421,71.84,413,76.20,337,71.55,222,59.04
002011,华夏红利混合,385,65.70,290,53.51,279,59.24,223,59.31
210001,金鹰成份股优选混合,386,65.87,125,23.06,219,46.50,224,59.57
